longitude,latitude,co2
-175,-45,408.396
-175,-35,408.22
-175,-25,408.471
-175,-15,408.448
-175,-5,408.686
-175,5,408.261
-175,15,407.865
-175,25,407.845
-175,35,407.331
-175,45,404.41
-175,55,404.463
-175,65,402.142
-165,-45,408.048
-165,-35,408.375
-165,-25,408.585
-165,-15,408.518
-165,-5,408.723
-165,5,408.282
-165,15,407.957
-165,25,407.706
-165,35,406.485
-165,45,405.853
-165,55,405.295
-165,65,404.356
-155,-55,407.761
-155,-45,408.014
-155,-35,408.6
-155,-25,408.518
-155,-15,408.676
-155,-5,408.858
-155,5,407.998
-155,15,407.874
-155,25,407.938
-155,35,406.198
-155,45,404.4
-155,55,405.396
-145,-45,408.25
-145,-35,408.104
-145,-25,408.631
-145,-15,408.758
-145,-5,408.855
-145,5,408.385
-145,15,407.635
-145,25,407.712
-145,35,407.376
-145,45,408.443
-135,-55,408.862
-135,-45,408.664
-135,-35,408.688
-135,-25,408.666
-135,-15,408.809
-135,-5,408.916
-135,5,408.099
-135,15,407.359
-135,25,407.517
-135,45,406.93
-135,55,405.27
-125,-45,407.94
-125,-35,408.672
-125,-25,408.576
-125,-15,408.849
-125,-5,408.826
-125,5,408.194
-125,15,407.37
-125,25,407.055
-125,35,407.12
-125,45,406.873
-125,55,405.679
-125,65,407.687
-115,-45,408.705
-115,-35,408.185
-115,-25,408.396
-115,-15,408.842
-115,-5,408.896
-115,5,408.148
-115,15,407.699
-115,25,407.637
-115,35,408.488
-115,45,407.793
-115,55,405.345
-115,65,405.555
-105,-45,408.061
-105,-35,408.446
-105,-25,408.582
-105,-15,408.912
-105,-5,408.693
-105,5,408.185
-105,15,407.435
-105,25,408.043
-105,35,408.489
-105,45,406.336
-105,55,405.18
-95,-45,408.727
-95,-35,408.659
-95,-25,408.691
-95,-15,408.77
-95,-5,408.8
-95,5,408.045
-95,15,407.375
-95,25,407.478
-95,35,407.639
-95,45,405.929
-95,55,403.69
-95,65,404.755
-85,-45,408.707
-85,-35,409.309
-85,-25,408.729
-85,-15,408.705
-85,-5,409.11
-85,5,407.885
-85,15,407.376
-85,25,407.023
-85,35,407.357
-85,45,404.215
-85,55,404.198
-85,75,404.305
-75,-45,407.747
-75,-35,408.689
-75,-25,408.349
-75,-15,407.879
-75,-5,409.13
-75,5,409.638
-75,15,407.151
-75,25,407.815
-75,35,406.941
-75,45,405.584
-75,55,404.826
-75,65,404.651
-65,-55,408.307
-65,-45,407.584
-65,-35,407.669
-65,-25,407.828
-65,-15,408.459
-65,-5,409.504
-65,5,408.364
-65,15,407.12
-65,25,406.896
-65,35,406.786
-65,45,405.083
-65,55,405.02
-55,-45,409.1
-55,-35,408.27
-55,-25,408.368
-55,-15,409.037
-55,-5,409.409
-55,5,408.308
-55,15,407.573
-55,25,407.03
-55,35,406.918
-55,45,404.762
-55,55,404.806
-55,65,406.803
-55,75,398.74
-45,-55,408.177
-45,-45,409.004
-45,-35,408.471
-45,-25,408.256
-45,-15,408.526
-45,-5,408.413
-45,5,408.223
-45,15,406.581
-45,25,406.833
-45,35,406.887
-45,45,405.505
-45,55,404.43
-35,-45,408.021
-35,-35,408.19
-35,-25,408.521
-35,-15,408.995
-35,-5,409.193
-35,5,408.437
-35,15,406.375
-35,25,406.683
-35,35,406.738
-35,45,405.346
-35,55,405.23
-35,65,403.124
-25,-45,408.053
-25,-35,408.129
-25,-25,408.708
-25,-15,409.155
-25,-5,409.383
-25,5,408.964
-25,15,406.037
-25,25,406.706
-25,35,406.323
-25,45,405.072
-25,55,403.385
-15,-45,408.28
-15,-35,408.383
-15,-25,409.199
-15,-15,409.845
-15,-5,409.76
-15,5,409.29
-15,15,406.396
-15,25,407.844
-15,35,406.061
-15,45,404.872
-15,55,404.112
-5,-45,407.393
-5,-35,408.459
-5,-25,409.622
-5,-15,410.05
-5,-5,409.681
-5,5,408.354
-5,15,405.073
-5,25,408.414
-5,35,407.512
-5,45,405.105
-5,55,405.67
5,-45,408.02
5,-35,409.01
5,-25,409.515
5,-15,409.054
5,-5,409.752
5,5,408.556
5,15,406.536
5,25,407.917
5,35,406.784
5,45,405.615
5,55,405.271
5,65,403.841
15,-35,409.431
15,-25,409.302
15,-15,409.624
15,-5,410.291
15,5,406.871
15,15,406.519
15,25,406.686
15,35,406.018
15,45,405.845
15,55,405.457
25,-45,407.39
25,-35,408.939
25,-25,409.036
25,-15,409.431
25,-5,410.128
25,5,406.787
25,15,405.858
25,25,406.527
25,35,406.331
25,45,405.133
25,55,403.985
25,65,405.602
25,75,405.821
35,-45,407.688
35,-35,408.751
35,-25,409.441
35,-15,409.552
35,-5,409.73
35,5,408.69
35,15,406.566
35,25,407.244
35,35,406.849
35,45,405.877
35,55,405.286
35,65,400.901
45,-45,408.204
45,-35,409.396
45,-25,409.088
45,-15,408.836
45,-5,408.837
45,5,408.96
45,15,408.102
45,25,408.541
45,35,407.814
45,45,405.676
45,55,403.881
55,-45,406.301
55,-35,409.647
55,-25,409.018
55,-15,408.581
55,-5,408.345
55,5,408.458
55,15,408.372
55,25,407.315
55,35,406.396
55,45,404.517
55,55,404.908
65,-45,408.51
65,-35,407.815
65,-25,408.598
65,-15,408.198
65,-5,408.568
65,5,408.471
65,15,407.51
65,25,407.294
65,35,406.029
65,45,403.889
65,55,403.671
65,65,402.242
75,-55,407.622
75,-45,408.138
75,-35,408.702
75,-25,408.742
75,-15,408.553
75,-5,408.525
75,5,408.928
75,15,406.698
75,25,405.28
75,35,405.887
75,45,404.955
75,55,403.984
75,65,401.744
85,-45,407.382
85,-35,408.449
85,-25,408.52
85,-15,407.682
85,-5,408.658
85,5,408.489
85,15,407.911
85,25,405.971
85,35,407.457
85,45,405.453
85,55,404.411
85,65,400.536
95,-45,408.369
95,-35,408.437
95,-25,408.612
95,-15,408.657
95,-5,408.611
95,5,409.062
95,25,406.303
95,35,406.691
95,45,405.615
95,55,404.741
95,65,401.148
95,75,401.981
105,-55,409.166
105,-45,408.312
105,-35,408.567
105,-25,408.862
105,-15,408.715
105,-5,409.513
105,5,409.17
105,15,409.2
105,25,407.004
105,35,406.731
105,45,404.053
105,55,403.402
105,65,402.112
105,75,402.478
115,-45,408.088
115,-35,408.341
115,-25,408.004
115,-15,408.97
115,-5,409.088
