latitude,longitude,index
-55,-72,0.447
-55,-71,-0.057
-55,-70,-0.041
-55,-69,0.538
-55,-67,0.467
-54,-74,0.483
-54,-73,0.353
-54,-72,0.294
-54,-69,0.463
-53,-74,0.451
-53,-73,0.703
-53,-72,0.455
-53,-71,0.412
-53,-70,0.439
-52,-74,0.522
-52,-73,0.479
-52,-72,0.467
-52,-71,0.365
-52,-70,0.396
-52,-60,0.538
-52,-59,0.581
-51,-75,0.624
-51,-74,-0.029
-51,-73,0.337
-51,-72,0.211
-51,-71,0.239
-51,-70,0.282
-50,-75,0.64
-50,-74,-0.033
-50,-72,0.164
-50,-71,0.172
-50,-70,0.183
-50,-69,0.132
-50,70,0.294
-49,-76,0.652
-49,-74,-0.037
-49,-73,-0.037
-49,-72,0.298
-49,-71,0.152
-49,-70,0.187
-49,-69,0.105
-49,-68,0.148
-48,-75,0.79
-48,-74,-0.029
-48,-73,0.046
-48,-72,0.085
-48,-71,0.124
-48,-70,0.124
-48,-69,0.176
-48,-68,0.16
-48,-67,0.168
-47,-74,-0.065
-47,-71,0.176
-47,-70,0.203
-47,-69,0.191
-46,-75,0.79
-46,-74,0.668
-46,-73,0.9
-46,-72,0.282
-46,-71,0.168
-46,-70,0.199
-46,-69,0.14
-46,-68,0.329
-46,168,0.687
-46,169,0.636
-46,170,0.404
-46,171,0.491
-45,-73,0.695
-45,-72,0.396
-45,-71,0.183
-45,-70,0.152
-45,-69,0.278
-45,-68,0.089
-45,-67,0.176
-45,169,0.089
-45,170,0.408
-45,171,0.254
-44,-73,-0.025
-44,-72,0.561
-44,-71,0.18
-44,-70,0.187
-44,-69,0.164
-44,-68,0.203
-44,-67,0.18
-44,-66,0.227
-44,171,0.093
-44,172,0.467
-44,173,0.64
-43,-73,0.876
-43,-72,0.522
-43,-71,0.195
-43,-70,0.144
-43,-69,0.128
-43,-68,0.211
-43,-67,0.258
-43,-66,0.258
-43,146,0.687
-43,147,0.798
-43,148,0.762
-43,172,0.778
-43,173,0.624
-42,-74,0.75
-42,-73,0.774
-42,-72,0.601
-42,-71,0.144
-42,-70,0.215
-42,-69,0.172
-42,-68,0.195
-42,-67,0.199
-42,-66,0.211
-42,146,0.845
-42,147,0.758
-42,148,0.672
-42,173,0.546
-42,174,0.746
-41,-74,0.739
-41,-73,0.829
-41,-72,0.668
-41,-71,0.148
-41,-70,0.148
-41,-69,0.14
-41,-68,0.172
-41,-67,0.215
-41,-66,0.274
-41,-65,0.306
-41,-64,0.475
-41,-63,0.424
-41,176,0.786
-40,-73,0.691
-40,-72,0.424
-40,-71,0.223
-40,-70,0.195
-40,-69,0.172
-40,-68,0.211
-40,-67,0.223
-40,-66,0.376
-40,-65,0.361
-40,-64,0.365
-40,-63,0.459
-40,175,0.817
-40,176,0.806
-40,177,0.774
-39,-74,0.802
-39,-73,0.632
-39,-72,0.384
-39,-71,0.199
-39,-70,0.152
-39,-69,0.274
-39,-68,0.16
-39,-67,0.278
-39,-66,0.349
-39,-65,0.546
-39,-64,0.369
-39,-63,0.42
-39,-62,0.435
-39,-61,0.538
-39,-60,0.593
-39,144,0.798
-39,146,0.829
-39,147,0.813
-39,176,0.806
-39,177,0.825
-39,178,0.778
-38,-74,0.809
-38,-73,0.64
-38,-72,0.156
-38,-71,0.191
-38,-70,0.148
-38,-69,0.152
-38,-68,0.109
-38,-67,0.262
-38,-66,0.42
